p.value	HR	Low 95%CI	High 95%CI
A4GALT	0.0176585119092618	0.944356369137419	0.900734924373201	0.99009034489364
ABCA10	0.908486793730502	1.04297438982274	0.508967978541485	2.13725739867435
ABCA4	0.0442845242939194	0.523994541728138	0.279144641324619	0.983612934348193
ABCA6	0.997139735631343	1.0011081721249	0.546380706265224	1.83428433837992
ABCA9	0.634979776990621	0.863357438054595	0.470703977004736	1.58355591254479
ABCC10	0.727326448315096	1.0215132224934	0.906323487076299	1.15134306746815
ABL2	0.849854461136537	1.01044128579094	0.907414048023727	1.1251661733191
AC012651.1	0.545805824762194	1.033667897044	0.92836629959078	1.1509135153337
AC013394.1	0.731311054607313	1.34737462418491	0.24569239530664	7.38898888437982
AC090004.1	0.948343611352879	0.988146827508065	0.688903901714368	1.41737352667673
ACAP3	0.517649444906954	0.964408434728234	0.864133192522638	1.07631975836942
ACAT1	0.650967429631038	1.00319962046159	0.989411728047352	1.017179653288
ACIN1	0.826921580865557	1.00210229944207	0.983414210090095	1.02114552367012
ACKR4	0.107399470402783	1.29672123626294	0.945083147192276	1.77919368213344
ACSL5	0.273153385794053	0.986274107953312	0.962192567041183	1.01095835629903
ACTA2	0.388581168056708	0.997848410489282	0.992974559048085	1.00274618442442
ACTN1	0.833059213270896	0.998316488673451	0.982797200903711	1.01408084052422
ACTN4	0.806691143416514	0.999518028108995	0.995665920106738	1.00338503943953
ADAM12	0.0268862809619656	1.02175649937166	1.00246543296891	1.04141879577468
ADAM23	0.432992522363381	1.13823576639379	0.823509819524418	1.57324251536705
ADAM32	0.788025247923386	1.91118089405705	0.0170121391166696	214.706239160108
ADAMTS1	0.345852092365736	0.990703601939587	0.971650506798486	1.01013030923024
ADAMTS10	0.053681926870134	0.863922716651606	0.744634724951303	1.00232024553448
ADAMTS12	0.0422270968257095	1.06868169101276	1.00233470418102	1.1394203472572
ADAMTS14	0.076340957942015	1.0427751910086	0.995575266285196	1.09221285000417
ADAMTS2	0.0202809369339885	1.02070266418956	1.00319336147112	1.03851756669908
ADAMTS4	0.187567609765997	1.03066186402844	0.98539102986055	1.0780125308355
ADAMTS6	0.0363682510956882	2.05651469932243	1.04682341844618	4.04008224692448
ADAMTS7	0.69802575209779	1.03883232047989	0.856966877003373	1.25929323411807
ADAMTS9	0.0827159695381626	0.983040864140968	0.964229988671425	1.00221871537365
ADAMTSL1	0.830591132846182	0.953824511244164	0.618552472993702	1.47082299072698
ADAMTSL4	0.612157654116704	0.980341508027202	0.907912064105985	1.05854907138766
ADARB1	0.479982364938314	0.95795875054858	0.850328937751403	1.07921173443692
ADCY3	0.357633299899724	0.957488148191354	0.872840798224885	1.05034452536063
ADCY4	0.0408712987373135	0.867371641968399	0.756789651249718	0.994111856641536
ADCY6	0.41542350087941	0.978492941664326	0.928609543054697	1.03105599554506
ADCY7	0.897836624474422	1.01005057078599	0.867051267750927	1.17663417780523
ADGRA2	0.56462700640067	0.984341654590922	0.932872908346217	1.03865005007005
ADGRE2	0.220119627126841	0.788629139824256	0.539554346130265	1.15268447866379
ADGRE5	0.238115400283973	0.992959383254487	0.981371564395935	1.00468402852086
ADGRF1	0.169860471659175	0.970770789366499	0.930510052489305	1.01277350305475
ADGRF5	0.0712201855115929	0.990046289610439	0.979344717118175	1.00086480116594
ADGRL2	0.0267852838814368	0.980864008574404	0.964234203920821	0.997780621559087
ADM5	0.509626294826665	0.837597063735465	0.494624835031993	1.41838579765792
ADRA1B	0.526880012741245	0.981857614376681	0.927725565808237	1.03914822490592
ADRA2A	0.213404568497496	1.03116391708563	0.982502832354261	1.08223507239313
AEBP1	0.0724764803891503	1.0026957685023	0.99975443937756	1.00564575116903
AFAP1	0.692076697507538	0.994119773362623	0.965524043431236	1.02356241723248
AGER	0.0602795353432856	0.991249896139254	0.982203104250397	1.00038001544087
AGO2	0.869574491423742	1.00796060502172	0.916936933338274	1.10802013130486
AGO3	0.296386939518239	0.888987200667228	0.712809576266353	1.10870879020689
AGO4	0.916138382338805	1.00526137825327	0.911715581207864	1.10840536175641
AGRN	0.185348043256359	0.995996535172739	0.99010154305972	1.00192662563729
AHNAK	0.459442284437216	0.998020252624471	0.992793959395811	1.00327405824949
AHR	0.34589941209386	0.996258930874553	0.988524587263117	1.00405378898595
AJUBA	0.258220416881574	0.985140333596225	0.959901640180589	1.01104262796707
AKAP13	0.143666582260589	0.985147971349488	0.965586371023296	1.00510586580203
AL136295.5	0.77944913579209	0.710245574369097	0.0647775836793482	7.78739723309118
AL157935.2	0.469758030338004	0.918202822424086	0.728537844827031	1.15724451254516
ALPK3	0.00625226218315071	1.13376004592333	1.03618980641736	1.24051774469429
ALS2CL	0.390810313711991	0.990275065098458	0.968417050889768	1.01262643367829
AMIGO2	0.120026832938428	0.987173560009172	0.971237424698165	1.00337117660394
AMPH	0.0742624726291351	1.29360068106152	0.97508159337307	1.71616686584563
ANGPT1	0.0294097484949837	0.846009221077095	0.727811741435039	0.983402109914099
ANGPTL2	0.158107724402945	1.01347065084745	0.994813701731406	1.032477496381
ANGPTL5	0.047583619422337	0.151878720432269	0.023534953953253	0.980122832020877
ANKHD1	0.423317298812489	1.32516078379849	0.665227557549446	2.63977504086923
ANKLE2	0.532777203142355	0.981160234035	0.924242369272807	1.04158328686992
ANKRD10	0.583364732888447	1.00458680974675	0.988292053331452	1.02115023075946
ANKRD13B	0.0692369533890398	1.1747762570933	0.987393931627677	1.3977189954521
ANKRD13D	0.456528833034838	0.971385747510752	0.899917369006486	1.04852990170503
ANKRD29	0.0369777366572261	0.372643432778389	0.14739788786774	0.942097135865773
ANKRD35	0.887919747045039	0.956745662978685	0.517296763709107	1.76951090330668
ANKRD36	0.83473212451314	1.07273009360923	0.554699879017291	2.07454498777525
ANKRD36C	0.249471243971187	2.22399490298535	0.570620930260531	8.66801946126743
ANKRD44	0.567056495926266	0.944414013846024	0.776451754775981	1.14870991541012
ANKRD65	0.524845890060583	0.985866851459026	0.943549718167674	1.03008186011987
ANKS6	0.421145977079595	0.984468007282414	0.947627533592829	1.02274071088677
ANO1	0.775002116688974	1.00295601826721	0.982861001301937	1.02346188651898
ANO8	0.0475534147658681	1.08044326888273	1.00083499382447	1.1663837340591
ANTXR1	0.790100376137846	1.00187640959337	0.988141907641155	1.01580181180235
ANTXR2	0.76449837500444	1.01485420077941	0.92152773840015	1.11763217309949
ANXA1	0.112766490338132	0.999391654888308	0.998640322186797	1.00014355285923
ANXA2	0.959795980595129	0.999927809872955	0.997125039381688	1.00273845853608
AP1G2	0.806180571453676	1.00643685826952	0.956152239833081	1.05936597487891
APCDD1	0.161164173151834	1.03584906874158	0.986051585247304	1.08816142001708
APCDD1L	0.350560797424956	1.07935034562615	0.919464973734867	1.26703811660283
APLNR	0.507423349395762	0.995068551252961	0.98062879882078	1.00972092894207
APOC1	0.268864812360931	0.999174451530195	0.997712732899492	1.00063831168048
APOD	0.0565934947412749	0.981384410637336	0.962607362874454	1.00052773185322
APOE	0.0917411929029383	0.999631508545428	0.999203382301818	1.00005981822725
APOL4	0.443414409495757	1.03265383272283	0.95119427116708	1.12108952982734
AQP5	0.432335726385069	0.997105763110106	0.989917868579909	1.00434584967503
ARAP3	0.0348110131578663	0.933721863715851	0.87611277055962	0.995119062382933
ARGLU1	0.781566086982407	0.998205297482236	0.985610836259512	1.01096069489565
ARHGAP1	0.954448575137005	1.00043668916318	0.985561299260191	1.01553659805341
ARHGAP17	0.333283594399223	0.966643860686266	0.90244341435156	1.03541157101119
ARHGAP19	0.282315935646633	0.985336763841482	0.959156720306197	1.01223138786711
ARHGAP23	0.477022251672441	0.990951322009805	0.9664325806487	1.01609211263743
ARHGAP27	0.642953462102547	0.983648009370814	0.917416220470909	1.05466132465209
ARHGAP29	0.117795471470842	0.971673611318301	0.937307842101906	1.00729937862794
ARHGAP31	0.0659569576641181	0.973037548108616	0.945097132269233	1.0018039815187
ARHGAP44	0.721510387636425	0.989216245308237	0.93196402978747	1.04998556672287
