p.value	HR	Low 95%CI	High 95%CI
A4GALT	0.220325356077555	0.716657438534164	0.420668268252572	1.22090949797521
ABCA10	0.761476537973155	0.809623544513962	0.207047556053969	3.16589239846179
ABCA4	0.145258014520914	0.50391125939364	0.200363310032139	1.26733061708231
ABCA6	0.989698336811317	1.0063222925764	0.386588738810299	2.61953971978774
ABCA9	0.961930695601972	1.02208482051316	0.41679921129282	2.50638041536385
ABCC10	0.726986850363885	0.854824665355178	0.35436595212228	2.06206381883845
ABL2	0.437012698765397	0.735415033724768	0.338821669076088	1.59622397617948
AC012651.1	0.940046573008845	1.01878456614107	0.627279032002848	1.65464161761196
AC013394.1	0.828308682110487	0.796236688622193	0.101558311858221	6.24264870799656
AC090004.1	0.827737088391308	1.0818315211872	0.532701766253104	2.19702564244575
ACAP3	0.927260881237829	1.04116033228242	0.437952797841566	2.47518646498201
ACAT1	0.555574668068374	0.836524869179272	0.462067590089835	1.51444046664115
ACIN1	0.355405724510003	0.711141371596897	0.345129015748007	1.46531304909456
ACKR4	0.880445904655086	1.0755855694222	0.416168237085367	2.77984770114008
ACSL5	0.294968348051362	0.81229728785096	0.5504896273355	1.19861819566655
ACTA2	0.94146535628461	1.01712044126065	0.646527447303315	1.60013932331152
ACTN1	0.170590758042361	0.715749194695737	0.443633186881388	1.15477589336563
ACTN4	0.318154969625107	0.674343570309467	0.311106315150428	1.46168441035291
ADAM12	0.0564807438768745	1.30782516817166	0.992618446258022	1.72312601780789
ADAM23	0.989025758380399	0.993502749589452	0.39244237295646	2.51514051860885
ADAM32	0.263867342237536	9.73993315770822	0.179651039613907	528.05871939569
ADAMTS1	0.660950255658567	0.915784566666599	0.618102394713495	1.35683242730919
ADAMTS10	0.620041408437096	0.864352090132525	0.485753858469265	1.53803108856568
ADAMTS12	0.247956507179005	1.30729090955804	0.829758311283937	2.05964736836275
ADAMTS14	0.379921177336024	1.15585676242189	0.836545741684322	1.59704937657858
ADAMTS2	0.0203011842101407	1.46516263060993	1.06117699681061	2.0229439015242
ADAMTS4	0.396473690038417	1.16657348143478	0.817048654238591	1.66562135623989
ADAMTS6	0.00357912124688222	3.97363534221073	1.5705139100941	10.0538923796734
ADAMTS7	0.102687376739714	1.74178928882746	0.894464857857945	3.39178213657207
ADAMTS9	0.0641870488900542	0.753591890593192	0.558510298666856	1.01681336749453
ADAMTSL1	0.965238308369185	1.01586307338707	0.500539502147808	2.0617309511901
ADAMTSL4	0.0997381584992574	1.40886754537789	0.936736318762031	2.11896103595334
ADARB1	0.891792474120058	0.950780008544733	0.459478485661923	1.96741012442846
ADCY3	0.155779634460962	0.648146122118554	0.356143622738539	1.17956175204555
ADCY4	0.326144518753795	0.741454768735087	0.408097558092214	1.34711703899923
ADCY6	0.288754337925896	0.72924220619261	0.406933802328139	1.3068321978911
ADCY7	0.246769317649148	0.739341297383981	0.443510607878994	1.23249713604724
ADGRA2	0.972064703890961	0.991701437435192	0.622051860872405	1.5810124571153
ADGRE2	0.816833950596906	0.918775080114815	0.448626455660821	1.88162699098199
ADGRE5	0.460676666203183	0.846174306137653	0.542924664073223	1.31880351685583
ADGRF1	0.74463511395609	1.06727812257189	0.721311298423152	1.57918307034799
ADGRF5	0.35056917247624	0.836126259608424	0.574212237749467	1.21750648287611
ADGRL2	0.0178771743742083	0.678460730530112	0.492140151567887	0.935320886550257
ADM5	0.759929822555049	0.867822772939236	0.349561743856899	2.15445877149603
ADRA1B	0.371892011821404	0.821619335183419	0.53379613707399	1.26463697479638
ADRA2A	0.469120740669495	1.12548375801589	0.817221763319341	1.55002441982519
AEBP1	0.109771675912982	1.34441500721912	0.935418850702223	1.93223785289246
AFAP1	0.160551164952048	0.698601684248956	0.423307124059883	1.1529319623887
AGER	0.0738670183352644	0.766290603635439	0.572306096602662	1.02602661880718
AGO2	0.324603120217299	0.71143676696136	0.361350132123388	1.4006976292224
AGO3	0.244838068700967	0.626562692909017	0.28496374866982	1.37765175387369
AGO4	0.505591459499169	0.77145690221509	0.359370052087167	1.65608054571822
AGRN	0.216215593310212	0.728596694346492	0.441107187202419	1.20345611772821
AHNAK	0.155590722113202	0.73655425108258	0.482970675277458	1.1232817902995
AHR	0.271846250529269	0.809483625526547	0.555237791978954	1.18014974748052
AJUBA	0.0535902097966089	0.655497230526628	0.426881042320481	1.00654884295728
AKAP13	0.0389818350359609	0.603007420930899	0.37304087096021	0.974740244310976
AL136295.5	0.684850742421723	0.580454837199228	0.0419708336639911	8.02766561001263
AL157935.2	0.736623820011907	0.899971272176474	0.486960884735564	1.66327176603265
ALPK3	0.448463008199409	1.26091263574248	0.692367145780206	2.296325995052
ALS2CL	0.524389957175696	0.857707379931323	0.534689283360617	1.37586813965092
AMIGO2	0.269864905053826	0.843305057689076	0.623029440925754	1.14146037668343
AMPH	0.0507428229980043	2.93175921409395	0.996528874833573	8.6251510683624
ANGPT1	0.0244140145456355	0.565460624739277	0.344170824241056	0.929032025987727
ANGPTL2	0.129931453757666	1.47891900699068	0.89124117630166	2.45410724660907
ANGPTL5	0.242463709682326	0.397789709822166	0.0847892294457679	1.86623530222801
ANKHD1	0.668978798473917	0.729651449858559	0.172033363889878	3.09469759959754
ANKLE2	0.188340192722426	0.61990872721853	0.304031084964063	1.2639721695797
ANKRD10	0.754647719624058	0.893249498896994	0.440044245662362	1.81321463726614
ANKRD13B	0.792700296971647	1.1173561665919	0.488411675192509	2.55621408421256
ANKRD13D	0.457866691760379	0.747435913593403	0.34656792597619	1.61197965263406
ANKRD29	0.230247668318818	0.538058354868808	0.195474411865652	1.48104701009718
ANKRD35	0.71018017172931	1.20279053962434	0.454205703330896	3.18513191622315
ANKRD36	0.948414783911178	1.03887811942804	0.327154361570216	3.29895570349807
ANKRD36C	0.297715978422886	2.55789529835785	0.436703595904654	14.9823093254073
ANKRD44	0.170489396571369	0.585507060324033	0.272339148524776	1.25879264713241
ANKRD65	0.926973768482931	1.01973592958	0.671399488934524	1.54879677928649
ANKS6	0.165907424493674	0.655948412014329	0.361246839945273	1.19106458976722
ANO1	0.157144020411456	1.42111686804443	0.873330562205068	2.31249568037697
ANO8	0.177727132029078	1.66083523294188	0.794192035170105	3.47318223909197
ANTXR1	0.843555902368566	1.04642326441789	0.66677971654809	1.64222399263103
ANTXR2	0.502558565082377	1.22054640035089	0.681604785417927	2.18562654969636
ANXA1	0.298500387506034	0.862459854020298	0.652519363149871	1.13994624804087
ANXA2	0.217863498784005	0.798463391858862	0.558191719091753	1.14215916562883
AP1G2	0.507541479445147	1.22881480090995	0.668058853129632	2.26025867011802
APCDD1	0.0381856575663352	1.48855324939457	1.02190170999972	2.16830127066108
APCDD1L	0.0827881071701259	1.61242906406305	0.939856446474109	2.76630276505409
APLNR	0.443134491981011	0.848431075788595	0.557422814042388	1.29136316675595
APOC1	0.301564952886075	0.898549892911795	0.733504057194057	1.10073271188218
APOD	0.527047295775575	0.921761029699976	0.716114721951338	1.18646268513845
APOE	0.088027341360444	0.837076217196857	0.68238115431492	1.0268404819885
APOL4	0.578725610213593	1.12549416915862	0.741492888559977	1.70836045005117
AQP5	0.17079984543488	0.858669558472152	0.690447413091571	1.06787772199093
ARAP3	0.350764007011135	0.749920387235659	0.409721306480897	1.3725929755081
